*** SIMULATED BIN SIZE PROBABILITIES ***
Number of fragments: 279352791
Fragment length: 10
Number of clusters: 5
Number of bins: 9765625
Average bin size: 28.61
Clusters: STAN#ILVM#KRDEQ#WFYH#GPC

Cluster probabilities
  0      1      2      3      4    
0.2496 0.2426 0.2617 0.1090 0.1371 

    k     P(X=k) log P(X=k)        Pav    log Pav
  152 2.6633e-03 -5.9282e+00 0.0000e+00 -1.3392e+02
  153 2.6198e-03 -5.9447e+00 0.0000e+00 -1.3560e+02
  154 2.5731e-03 -5.9626e+00 0.0000e+00 -1.3728e+02
  155 2.5234e-03 -5.9822e+00 0.0000e+00 -1.3897e+02
  156 2.4706e-03 -6.0033e+00 0.0000e+00 -1.4066e+02
  157 2.4150e-03 -6.0261e+00 0.0000e+00 -1.4237e+02
  158 2.3567e-03 -6.0505e+00 0.0000e+00 -1.4408e+02
  159 2.2959e-03 -6.0766e+00 0.0000e+00 -1.4579e+02
  160 2.2328e-03 -6.1045e+00 0.0000e+00 -1.4751e+02
  161 2.1676e-03 -6.1341e+00 0.0000e+00 -1.4924e+02
  162 2.1006e-03 -6.1655e+00 0.0000e+00 -1.5098e+02
  163 2.0320e-03 -6.1987e+00 0.0000e+00 -1.5272e+02
  164 1.9621e-03 -6.2337e+00 0.0000e+00 -1.5446e+02
  165 1.8911e-03 -6.2706e+00 0.0000e+00 -1.5621e+02
  166 1.8194e-03 -6.3093e+00 0.0000e+00 -1.5797e+02
  167 1.7471e-03 -6.3498e+00 0.0000e+00 -1.5974e+02
  168 1.6747e-03 -6.3921e+00 0.0000e+00 -1.6151e+02
  169 1.6022e-03 -6.4364e+00 0.0000e+00 -1.6328e+02
  170 1.5301e-03 -6.4824e+00 0.0000e+00 -1.6507e+02
  171 1.4584e-03 -6.5304e+00 0.0000e+00 -1.6685e+02
  172 1.3876e-03 -6.5802e+00 0.0000e+00 -1.6865e+02
  173 1.3178e-03 -6.6318e+00 0.0000e+00 -1.7045e+02
  174 1.2491e-03 -6.6853e+00 0.0000e+00 -1.7225e+02
  175 1.1819e-03 -6.7407e+00 0.0000e+00 -1.7406e+02
  176 1.1162e-03 -6.7978e+00 0.0000e+00 -1.7588e+02
  177 1.0523e-03 -6.8568e+00 0.0000e+00 -1.7770e+02
  178 9.9017e-04 -6.9176e+00 0.0000e+00 -1.7953e+02
  179 9.3007e-04 -6.9802e+00 0.0000e+00 -1.8137e+02
  180 8.7206e-04 -7.0447e+00 0.0000e+00 -1.8320e+02
  181 8.1622e-04 -7.1108e+00 0.0000e+00 -1.8505e+02
  182 7.6261e-04 -7.1788e+00 0.0000e+00 -1.8690e+02
  183 7.1130e-04 -7.2484e+00 0.0000e+00 -1.8876e+02
  184 6.6231e-04 -7.3198e+00 0.0000e+00 -1.9062e+02
  185 6.1567e-04 -7.3928e+00 0.0000e+00 -1.9248e+02
  186 5.7137e-04 -7.4675e+00 0.0000e+00 -1.9436e+02
  187 5.2943e-04 -7.5437e+00 0.0000e+00 -1.9623e+02
  188 4.8981e-04 -7.6215e+00 0.0000e+00 -1.9812e+02
  189 4.5250e-04 -7.7007e+00 0.0000e+00 -2.0000e+02
  190 4.1745e-04 -7.7814e+00 0.0000e+00 -2.0190e+02
  191 3.8462e-04 -7.8633e+00 0.0000e+00 -2.0380e+02
  192 3.5395e-04 -7.9463e+00 0.0000e+00 -2.0570e+02
  193 3.2540e-04 -8.0304e+00 0.0000e+00 -2.0761e+02
  194 2.9890e-04 -8.1154e+00 0.0000e+00 -2.0952e+02
  195 2.7438e-04 -8.2010e+00 0.0000e+00 -2.1144e+02
  196 2.5178e-04 -8.2870e+00 0.0000e+00 -2.1337e+02
  197 2.3102e-04 -8.3730e+00 0.0000e+00 -2.1530e+02
  198 2.1203e-04 -8.4588e+00 0.0000e+00 -2.1723e+02
  199 1.9474e-04 -8.5438e+00 0.0000e+00 -2.1917e+02
  200 1.7909e-04 -8.6276e+00 0.0000e+00 -2.2112e+02
  201 1.6499e-04 -8.7096e+00 0.0000e+00 -2.2307e+02
  202 1.5238e-04 -8.7891e+00 0.0000e+00 -2.2502e+02
  203 1.4120e-04 -8.8653e+00 0.0000e+00 -2.2698e+02
  204 1.3137e-04 -8.9375e+00 0.0000e+00 -2.2894e+02
  205 1.2284e-04 -9.0046e+00 0.0000e+00 -2.3091e+02
  206 1.1555e-04 -9.0658e+00 0.0000e+00 -2.3289e+02
  207 1.0943e-04 -9.1202e+00 0.0000e+00 -2.3487e+02
  208 1.0444e-04 -9.1669e+00 0.0000e+00 -2.3685e+02
  209 1.0052e-04 -9.2051e+00 0.0000e+00 -2.3884e+02
  210 9.7632e-05 -9.2343e+00 0.0000e+00 -2.4083e+02
  211 9.5723e-05 -9.2541e+00 0.0000e+00 -2.4283e+02
  212 9.4753e-05 -9.2642e+00 0.0000e+00 -2.4483e+02
  213 9.4683e-05 -9.2650e+00 0.0000e+00 -2.4684e+02
  214 9.5477e-05 -9.2566e+00 0.0000e+00 -2.4886e+02
  215 9.7101e-05 -9.2398e+00 0.0000e+00 -2.5087e+02
  216 9.9524e-05 -9.2151e+00 0.0000e+00 -2.5289e+02
  217 1.0272e-04 -9.1835e+00 0.0000e+00 -2.5492e+02
  218 1.0665e-04 -9.1460e+00 0.0000e+00 -2.5695e+02
  219 1.1130e-04 -9.1033e+00 0.0000e+00 -2.5899e+02
  220 1.1663e-04 -9.0565e+00 0.0000e+00 -2.6103e+02
  221 1.2264e-04 -9.0062e+00 0.0000e+00 -2.6307e+02
  222 1.2929e-04 -8.9534e+00 0.0000e+00 -2.6512e+02
  223 1.3657e-04 -8.8987e+00 0.0000e+00 -2.6717e+02
  224 1.4444e-04 -8.8426e+00 0.0000e+00 -2.6923e+02
  225 1.5290e-04 -8.7857e+00 0.0000e+00 -2.7129e+02
  226 1.6192e-04 -8.7284e+00 0.0000e+00 -2.7336e+02
  227 1.7148e-04 -8.6710e+00 0.0000e+00 -2.7543e+02
  228 1.8156e-04 -8.6139e+00 0.0000e+00 -2.7751e+02
  229 1.9214e-04 -8.5573e+00 0.0000e+00 -2.7959e+02
  230 2.0319e-04 -8.5014e+00 0.0000e+00 -2.8167e+02
  231 2.1470e-04 -8.4463e+00 0.0000e+00 -2.8376e+02
  232 2.2664e-04 -8.3922e+00 0.0000e+00 -2.8585e+02
  233 2.3898e-04 -8.3391e+00 0.0000e+00 -2.8795e+02
  234 2.5171e-04 -8.2872e+00 0.0000e+00 -2.9005e+02
  235 2.6480e-04 -8.2366e+00 0.0000e+00 -2.9216e+02
  236 2.7821e-04 -8.1871e+00 0.0000e+00 -2.9427e+02
  237 2.9192e-04 -8.1390e+00 0.0000e+00 -2.9638e+02
  238 3.0591e-04 -8.0922e+00 0.0000e+00 -2.9850e+02
  239 3.2014e-04 -8.0467e+00 0.0000e+00 -3.0063e+02
  240 3.3459e-04 -8.0026e+00 0.0000e+00 -3.0275e+02
  241 3.4921e-04 -7.9598e+00 0.0000e+00 -3.0488e+02
  242 3.6398e-04 -7.9184e+00 0.0000e+00 -3.0702e+02
  243 3.7887e-04 -7.8783e+00 0.0000e+00 -3.0916e+02
  244 3.9384e-04 -7.8396e+00 0.0000e+00 -3.1130e+02
  245 4.0886e-04 -7.8021e+00 0.0000e+00 -3.1345e+02
  246 4.2389e-04 -7.7660e+00 0.0000e+00 -3.1560e+02
  247 4.3889e-04 -7.7313e+00 0.0000e+00 -3.1776e+02
  248 4.5383e-04 -7.6978e+00 0.0000e+00 -3.1992e+02
  249 4.6868e-04 -7.6656e+00 0.0000e+00 -3.2208e+02
  250 4.8340e-04 -7.6347e+00 0.0000e+00 -3.2425e+02
  251 4.9795e-04 -7.6050e+00 0.0000e+00 -3.2642e+02
  252 5.1230e-04 -7.5766e+00 0.0000e+00 -3.2860e+02
  253 5.2642e-04 -7.5494e+00 0.0000e+00 -3.3078e+02
  254 5.4026e-04 -7.5235e+00 0.0000e+00 -3.3296e+02
  255 5.5380e-04 -7.4987e+00 0.0000e+00 -3.3515e+02
  256 5.6700e-04 -7.4752e+00 0.0000e+00 -3.3734e+02
  257 5.7983e-04 -7.4528e+00 0.0000e+00 -3.3954e+02
  258 5.9226e-04 -7.4316e+00 0.0000e+00 -3.4173e+02
  259 6.0425e-04 -7.4115e+00 0.0000e+00 -3.4394e+02
  260 6.1579e-04 -7.3926e+00 0.0000e+00 -3.4614e+02
  261 6.2685e-04 -7.3748e+00 0.0000e+00 -3.4836e+02
  262 6.3739e-04 -7.3581e+00 0.0000e+00 -3.5057e+02
  263 6.4739e-04 -7.3426e+00 0.0000e+00 -3.5279e+02
  264 6.5683e-04 -7.3281e+00 0.0000e+00 -3.5501e+02
  265 6.6570e-04 -7.3147e+00 0.0000e+00 -3.5724e+02
  266 6.7397e-04 -7.3023e+00 0.0000e+00 -3.5947e+02
  267 6.8162e-04 -7.2910e+00 0.0000e+00 -3.6170e+02
  268 6.8864e-04 -7.2808e+00 0.0000e+00 -3.6394e+02
  269 6.9502e-04 -7.2716e+00 0.0000e+00 -3.6618e+02
  270 7.0074e-04 -7.2634e+00 0.0000e+00 -3.6842e+02
  271 7.0580e-04 -7.2562e+00 0.0000e+00 -3.7067e+02
  272 7.1019e-04 -7.2500e+00 0.0000e+00 -3.7292e+02
  273 7.1390e-04 -7.2448e+00 0.0000e+00 -3.7518e+02
  274 7.1693e-04 -7.2405e+00 0.0000e+00 -3.7744e+02
  275 7.1927e-04 -7.2373e+00 0.0000e+00 -3.7970e+02
  276 7.2094e-04 -7.2350e+00 0.0000e+00 -3.8197e+02
  277 7.2193e-04 -7.2336e+00 0.0000e+00 -3.8424e+02
  278 7.2224e-04 -7.2332e+00 0.0000e+00 -3.8651e+02
  279 7.2188e-04 -7.2337e+00 0.0000e+00 -3.8879e+02
  280 7.2086e-04 -7.2351e+00 0.0000e+00 -3.9107e+02
  281 7.1919e-04 -7.2374e+00 0.0000e+00 -3.9336e+02
